survtype,countryname,yearweek,pathogen,pathogentype,indicator,age,value
non-sentinel,Austria,2023-W21,SARS-CoV-2,SARS-CoV-2,deaths,65+,10
non-sentinel,Austria,2023-W21,SARS-CoV-2,SARS-CoV-2,deaths,total,10
non-sentinel,Austria,2023-W21,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,1
non-sentinel,Austria,2023-W21,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,2
non-sentinel,Austria,2023-W21,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,3
non-sentinel,Austria,2023-W20,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W20,SARS-CoV-2,SARS-CoV-2,deaths,15-64,2
non-sentinel,Austria,2023-W20,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W20,SARS-CoV-2,SARS-CoV-2,deaths,65+,12
non-sentinel,Austria,2023-W20,SARS-CoV-2,SARS-CoV-2,deaths,total,14
non-sentinel,Austria,2023-W20,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,2
non-sentinel,Austria,2023-W20,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,2
non-sentinel,Austria,2023-W19,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W19,SARS-CoV-2,SARS-CoV-2,deaths,15-64,0
non-sentinel,Austria,2023-W19,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W19,SARS-CoV-2,SARS-CoV-2,deaths,65+,11
non-sentinel,Austria,2023-W19,SARS-CoV-2,SARS-CoV-2,deaths,total,11
non-sentinel,Austria,2023-W19,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,3
non-sentinel,Austria,2023-W19,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,1
non-sentinel,Austria,2023-W19,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,4
non-sentinel,Austria,2023-W19,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,1
non-sentinel,Austria,2023-W19,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,1
non-sentinel,Austria,2023-W18,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W18,SARS-CoV-2,SARS-CoV-2,deaths,15-64,1
non-sentinel,Austria,2023-W18,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W18,SARS-CoV-2,SARS-CoV-2,deaths,65+,21
non-sentinel,Austria,2023-W18,SARS-CoV-2,SARS-CoV-2,deaths,total,22
non-sentinel,Austria,2023-W18,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,1
non-sentinel,Austria,2023-W18,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,1
non-sentinel,Austria,2023-W17,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W17,SARS-CoV-2,SARS-CoV-2,deaths,15-64,2
non-sentinel,Austria,2023-W17,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W17,SARS-CoV-2,SARS-CoV-2,deaths,65+,22
non-sentinel,Austria,2023-W17,SARS-CoV-2,SARS-CoV-2,deaths,total,24
non-sentinel,Austria,2023-W17,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,1
non-sentinel,Austria,2023-W17,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,3
non-sentinel,Austria,2023-W17,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,4
non-sentinel,Austria,2023-W17,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,1
non-sentinel,Austria,2023-W17,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,1
non-sentinel,Austria,2023-W17,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,2
non-sentinel,Austria,2023-W16,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W16,SARS-CoV-2,SARS-CoV-2,deaths,15-64,2
non-sentinel,Austria,2023-W16,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W16,SARS-CoV-2,SARS-CoV-2,deaths,65+,36
non-sentinel,Austria,2023-W16,SARS-CoV-2,SARS-CoV-2,deaths,total,38
non-sentinel,Austria,2023-W16,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,1
non-sentinel,Austria,2023-W16,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,3
non-sentinel,Austria,2023-W16,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,4
non-sentinel,Austria,2023-W15,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W15,SARS-CoV-2,SARS-CoV-2,deaths,15-64,0
non-sentinel,Austria,2023-W15,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W15,SARS-CoV-2,SARS-CoV-2,deaths,65+,31
non-sentinel,Austria,2023-W15,SARS-CoV-2,SARS-CoV-2,deaths,total,31
non-sentinel,Austria,2023-W15,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,3
non-sentinel,Austria,2023-W15,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,11
non-sentinel,Austria,2023-W15,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,14
non-sentinel,Austria,2023-W15,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,1
non-sentinel,Austria,2023-W15,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,1
non-sentinel,Austria,2023-W14,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W14,SARS-CoV-2,SARS-CoV-2,deaths,15-64,2
non-sentinel,Austria,2023-W14,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W14,SARS-CoV-2,SARS-CoV-2,deaths,65+,29
non-sentinel,Austria,2023-W14,SARS-CoV-2,SARS-CoV-2,deaths,total,31
non-sentinel,Austria,2023-W14,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,8
non-sentinel,Austria,2023-W14,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,7
non-sentinel,Austria,2023-W14,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,15
non-sentinel,Austria,2023-W14,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,2
non-sentinel,Austria,2023-W14,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,3
non-sentinel,Austria,2023-W14,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,5
non-sentinel,Austria,2023-W13,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W13,SARS-CoV-2,SARS-CoV-2,deaths,15-64,2
non-sentinel,Austria,2023-W13,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W13,SARS-CoV-2,SARS-CoV-2,deaths,65+,43
non-sentinel,Austria,2023-W13,SARS-CoV-2,SARS-CoV-2,deaths,total,45
non-sentinel,Austria,2023-W13,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,0-4,1
non-sentinel,Austria,2023-W13,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,15
non-sentinel,Austria,2023-W13,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,14
non-sentinel,Austria,2023-W13,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,30
non-sentinel,Austria,2023-W13,SARS-CoV-2,SARS-CoV-2,ICUadmissions,0-4,1
non-sentinel,Austria,2023-W13,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,15
non-sentinel,Austria,2023-W13,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,9
non-sentinel,Austria,2023-W13,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,25
non-sentinel,Austria,2023-W12,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W12,SARS-CoV-2,SARS-CoV-2,deaths,15-64,2
non-sentinel,Austria,2023-W12,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W12,SARS-CoV-2,SARS-CoV-2,deaths,65+,48
non-sentinel,Austria,2023-W12,SARS-CoV-2,SARS-CoV-2,deaths,total,50
non-sentinel,Austria,2023-W12,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,28
non-sentinel,Austria,2023-W12,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,39
non-sentinel,Austria,2023-W12,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,67
non-sentinel,Austria,2023-W12,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,28
non-sentinel,Austria,2023-W12,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,32
non-sentinel,Austria,2023-W12,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,60
non-sentinel,Austria,2023-W11,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W11,SARS-CoV-2,SARS-CoV-2,deaths,15-64,1
non-sentinel,Austria,2023-W11,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W11,SARS-CoV-2,SARS-CoV-2,deaths,65+,55
non-sentinel,Austria,2023-W11,SARS-CoV-2,SARS-CoV-2,deaths,total,56
non-sentinel,Austria,2023-W11,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,0-4,2
non-sentinel,Austria,2023-W11,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,35
non-sentinel,Austria,2023-W11,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,36
non-sentinel,Austria,2023-W11,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,73
non-sentinel,Austria,2023-W11,SARS-CoV-2,SARS-CoV-2,ICUadmissions,0-4,2
non-sentinel,Austria,2023-W11,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,34
non-sentinel,Austria,2023-W11,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,30
non-sentinel,Austria,2023-W11,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,66
non-sentinel,Austria,2023-W10,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W10,SARS-CoV-2,SARS-CoV-2,deaths,15-64,3
non-sentinel,Austria,2023-W10,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W10,SARS-CoV-2,SARS-CoV-2,deaths,65+,57
non-sentinel,Austria,2023-W10,SARS-CoV-2,SARS-CoV-2,deaths,total,60
non-sentinel,Austria,2023-W10,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,0-4,2
non-sentinel,Austria,2023-W10,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,53
non-sentinel,Austria,2023-W10,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,47
non-sentinel,Austria,2023-W10,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,102
non-sentinel,Austria,2023-W10,SARS-CoV-2,SARS-CoV-2,ICUadmissions,0-4,2
non-sentinel,Austria,2023-W10,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,53
non-sentinel,Austria,2023-W10,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,36
non-sentinel,Austria,2023-W10,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,91
non-sentinel,Austria,2023-W09,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W09,SARS-CoV-2,SARS-CoV-2,deaths,15-64,3
non-sentinel,Austria,2023-W09,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W09,SARS-CoV-2,SARS-CoV-2,deaths,65+,61
non-sentinel,Austria,2023-W09,SARS-CoV-2,SARS-CoV-2,deaths,total,64
non-sentinel,Austria,2023-W09,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,37
non-sentinel,Austria,2023-W09,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,5-14,1
non-sentinel,Austria,2023-W09,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,34
non-sentinel,Austria,2023-W09,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,72
non-sentinel,Austria,2023-W09,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,37
non-sentinel,Austria,2023-W09,SARS-CoV-2,SARS-CoV-2,ICUadmissions,5-14,1
non-sentinel,Austria,2023-W09,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,23
non-sentinel,Austria,2023-W09,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,61
non-sentinel,Austria,2023-W08,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W08,SARS-CoV-2,SARS-CoV-2,deaths,15-64,6
non-sentinel,Austria,2023-W08,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W08,SARS-CoV-2,SARS-CoV-2,deaths,65+,53
non-sentinel,Austria,2023-W08,SARS-CoV-2,SARS-CoV-2,deaths,total,59
non-sentinel,Austria,2023-W08,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,0-4,2
non-sentinel,Austria,2023-W08,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,59
non-sentinel,Austria,2023-W08,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,52
non-sentinel,Austria,2023-W08,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,113
non-sentinel,Austria,2023-W08,SARS-CoV-2,SARS-CoV-2,ICUadmissions,0-4,2
non-sentinel,Austria,2023-W08,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,57
non-sentinel,Austria,2023-W08,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,35
non-sentinel,Austria,2023-W08,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,94
non-sentinel,Austria,2023-W07,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W07,SARS-CoV-2,SARS-CoV-2,deaths,15-64,4
non-sentinel,Austria,2023-W07,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W07,SARS-CoV-2,SARS-CoV-2,deaths,65+,31
non-sentinel,Austria,2023-W07,SARS-CoV-2,SARS-CoV-2,deaths,total,35
non-sentinel,Austria,2023-W07,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,0-4,4
non-sentinel,Austria,2023-W07,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,63
non-sentinel,Austria,2023-W07,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,55
non-sentinel,Austria,2023-W07,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,122
non-sentinel,Austria,2023-W07,SARS-CoV-2,SARS-CoV-2,ICUadmissions,0-4,4
non-sentinel,Austria,2023-W07,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,60
non-sentinel,Austria,2023-W07,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,46
non-sentinel,Austria,2023-W07,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,110
non-sentinel,Austria,2023-W06,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W06,SARS-CoV-2,SARS-CoV-2,deaths,15-64,4
non-sentinel,Austria,2023-W06,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W06,SARS-CoV-2,SARS-CoV-2,deaths,65+,33
non-sentinel,Austria,2023-W06,SARS-CoV-2,SARS-CoV-2,deaths,total,37
non-sentinel,Austria,2023-W06,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,0-4,1
non-sentinel,Austria,2023-W06,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,55
non-sentinel,Austria,2023-W06,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,5-14,1
non-sentinel,Austria,2023-W06,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,34
non-sentinel,Austria,2023-W06,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,91
non-sentinel,Austria,2023-W06,SARS-CoV-2,SARS-CoV-2,ICUadmissions,0-4,1
non-sentinel,Austria,2023-W06,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,53
non-sentinel,Austria,2023-W06,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,26
non-sentinel,Austria,2023-W06,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,80
non-sentinel,Austria,2023-W05,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W05,SARS-CoV-2,SARS-CoV-2,deaths,15-64,3
non-sentinel,Austria,2023-W05,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W05,SARS-CoV-2,SARS-CoV-2,deaths,65+,44
non-sentinel,Austria,2023-W05,SARS-CoV-2,SARS-CoV-2,deaths,total,47
non-sentinel,Austria,2023-W05,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,0-4,1
non-sentinel,Austria,2023-W05,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,43
non-sentinel,Austria,2023-W05,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,32
non-sentinel,Austria,2023-W05,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,76
non-sentinel,Austria,2023-W05,SARS-CoV-2,SARS-CoV-2,ICUadmissions,0-4,1
non-sentinel,Austria,2023-W05,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,43
non-sentinel,Austria,2023-W05,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,26
non-sentinel,Austria,2023-W05,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,70
non-sentinel,Austria,2023-W04,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W04,SARS-CoV-2,SARS-CoV-2,deaths,15-64,9
non-sentinel,Austria,2023-W04,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W04,SARS-CoV-2,SARS-CoV-2,deaths,65+,39
non-sentinel,Austria,2023-W04,SARS-CoV-2,SARS-CoV-2,deaths,total,48
non-sentinel,Austria,2023-W04,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,0-4,3
non-sentinel,Austria,2023-W04,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,54
non-sentinel,Austria,2023-W04,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,28
non-sentinel,Austria,2023-W04,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,85
non-sentinel,Austria,2023-W04,SARS-CoV-2,SARS-CoV-2,ICUadmissions,0-4,3
non-sentinel,Austria,2023-W04,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,51
non-sentinel,Austria,2023-W04,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,19
non-sentinel,Austria,2023-W04,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,73
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,deaths,15-64,3
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,deaths,65+,42
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,deaths,total,45
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,0-4,3
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,35
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,5-14,1
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,29
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,68
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,ICUadmissions,0-4,3
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,34
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,ICUadmissions,5-14,1
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,23
non-sentinel,Austria,2023-W03,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,61
non-sentinel,Austria,2023-W02,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W02,SARS-CoV-2,SARS-CoV-2,deaths,15-64,2
non-sentinel,Austria,2023-W02,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W02,SARS-CoV-2,SARS-CoV-2,deaths,65+,52
non-sentinel,Austria,2023-W02,SARS-CoV-2,SARS-CoV-2,deaths,total,54
non-sentinel,Austria,2023-W02,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,27
non-sentinel,Austria,2023-W02,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,41
non-sentinel,Austria,2023-W02,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,68
non-sentinel,Austria,2023-W02,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,26
non-sentinel,Austria,2023-W02,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,35
non-sentinel,Austria,2023-W02,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,61
non-sentinel,Austria,2023-W01,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2023-W01,SARS-CoV-2,SARS-CoV-2,deaths,15-64,5
non-sentinel,Austria,2023-W01,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2023-W01,SARS-CoV-2,SARS-CoV-2,deaths,65+,59
non-sentinel,Austria,2023-W01,SARS-CoV-2,SARS-CoV-2,deaths,total,64
non-sentinel,Austria,2023-W01,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,0-4,1
non-sentinel,Austria,2023-W01,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,43
non-sentinel,Austria,2023-W01,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,82
non-sentinel,Austria,2023-W01,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,126
non-sentinel,Austria,2023-W01,SARS-CoV-2,SARS-CoV-2,ICUadmissions,0-4,1
non-sentinel,Austria,2023-W01,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,42
non-sentinel,Austria,2023-W01,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,67
non-sentinel,Austria,2023-W01,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,110
non-sentinel,Austria,2022-W52,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2022-W52,SARS-CoV-2,SARS-CoV-2,deaths,15-64,4
non-sentinel,Austria,2022-W52,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2022-W52,SARS-CoV-2,SARS-CoV-2,deaths,65+,73
non-sentinel,Austria,2022-W52,SARS-CoV-2,SARS-CoV-2,deaths,total,77
non-sentinel,Austria,2022-W52,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,43
non-sentinel,Austria,2022-W52,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,65+,68
non-sentinel,Austria,2022-W52,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,total,111
non-sentinel,Austria,2022-W52,SARS-CoV-2,SARS-CoV-2,ICUadmissions,15-64,41
non-sentinel,Austria,2022-W52,SARS-CoV-2,SARS-CoV-2,ICUadmissions,65+,55
non-sentinel,Austria,2022-W52,SARS-CoV-2,SARS-CoV-2,ICUadmissions,total,96
non-sentinel,Austria,2022-W51,SARS-CoV-2,SARS-CoV-2,deaths,0-4,0
non-sentinel,Austria,2022-W51,SARS-CoV-2,SARS-CoV-2,deaths,15-64,3
non-sentinel,Austria,2022-W51,SARS-CoV-2,SARS-CoV-2,deaths,5-14,0
non-sentinel,Austria,2022-W51,SARS-CoV-2,SARS-CoV-2,deaths,65+,70
non-sentinel,Austria,2022-W51,SARS-CoV-2,SARS-CoV-2,deaths,total,73
non-sentinel,Austria,2022-W51,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,0-4,1
non-sentinel,Austria,2022-W51,SARS-CoV-2,SARS-CoV-2,hospitaladmissions,15-64,86
