survtype,countryname,yearweek,indicator,age,value
SARI syndromic,Austria,2025-W40,SARIrate,total,13.2
SARI syndromic,Austria,2025-W39,SARIrate,0-4,15.2
SARI syndromic,Austria,2025-W39,SARIrate,15-64,1.4
SARI syndromic,Austria,2025-W39,SARIrate,5-14,2.2
SARI syndromic,Austria,2025-W39,SARIrate,65+,18.6
SARI syndromic,Austria,2025-W39,SARIrate,total,5.6
SARI syndromic,Austria,2025-W38,SARIrate,0-4,30.8
SARI syndromic,Austria,2025-W38,SARIrate,15-64,2.4
SARI syndromic,Austria,2025-W38,SARIrate,5-14,5.7
SARI syndromic,Austria,2025-W38,SARIrate,65+,25.9
SARI syndromic,Austria,2025-W38,SARIrate,total,8.8
SARI syndromic,Austria,2025-W37,SARIrate,0-4,19.3
SARI syndromic,Austria,2025-W37,SARIrate,15-64,2.7
SARI syndromic,Austria,2025-W37,SARIrate,5-14,3
SARI syndromic,Austria,2025-W37,SARIrate,65+,27.6
SARI syndromic,Austria,2025-W37,SARIrate,total,8.5
SARI syndromic,Austria,2025-W36,SARIrate,0-4,10.1
SARI syndromic,Austria,2025-W36,SARIrate,15-64,2.2
SARI syndromic,Austria,2025-W36,SARIrate,5-14,1.1
SARI syndromic,Austria,2025-W36,SARIrate,65+,29.8
SARI syndromic,Austria,2025-W36,SARIrate,total,8
SARI syndromic,Austria,2025-W35,SARIrate,0-4,7.5
SARI syndromic,Austria,2025-W35,SARIrate,15-64,2.7
SARI syndromic,Austria,2025-W35,SARIrate,5-14,0.8
SARI syndromic,Austria,2025-W35,SARIrate,65+,34.5
SARI syndromic,Austria,2025-W35,SARIrate,total,9.1
SARI syndromic,Austria,2025-W34,SARIrate,0-4,7.9
SARI syndromic,Austria,2025-W34,SARIrate,15-64,2.5
SARI syndromic,Austria,2025-W34,SARIrate,5-14,0.8
SARI syndromic,Austria,2025-W34,SARIrate,65+,29.8
SARI syndromic,Austria,2025-W34,SARIrate,total,8.1
SARI syndromic,Austria,2025-W33,SARIrate,0-4,8.7
SARI syndromic,Austria,2025-W33,SARIrate,15-64,2.6
SARI syndromic,Austria,2025-W33,SARIrate,5-14,0.8
SARI syndromic,Austria,2025-W33,SARIrate,65+,33
SARI syndromic,Austria,2025-W33,SARIrate,total,8.8
SARI syndromic,Austria,2025-W32,SARIrate,0-4,7
SARI syndromic,Austria,2025-W32,SARIrate,15-64,2.7
SARI syndromic,Austria,2025-W32,SARIrate,5-14,1.4
SARI syndromic,Austria,2025-W32,SARIrate,65+,30.7
SARI syndromic,Austria,2025-W32,SARIrate,total,8.4
SARI syndromic,Austria,2025-W31,SARIrate,0-4,4.3
SARI syndromic,Austria,2025-W31,SARIrate,15-64,2.2
SARI syndromic,Austria,2025-W31,SARIrate,5-14,0.3
SARI syndromic,Austria,2025-W31,SARIrate,65+,33
SARI syndromic,Austria,2025-W31,SARIrate,total,8.3
SARI syndromic,Austria,2025-W30,SARIrate,0-4,7.2
SARI syndromic,Austria,2025-W30,SARIrate,15-64,2.5
SARI syndromic,Austria,2025-W30,SARIrate,5-14,1.4
SARI syndromic,Austria,2025-W30,SARIrate,65+,31.8
SARI syndromic,Austria,2025-W30,SARIrate,total,8.5
SARI syndromic,Austria,2025-W29,SARIrate,0-4,8.2
SARI syndromic,Austria,2025-W29,SARIrate,15-64,2.5
SARI syndromic,Austria,2025-W29,SARIrate,5-14,1.6
SARI syndromic,Austria,2025-W29,SARIrate,65+,31.7
SARI syndromic,Austria,2025-W29,SARIrate,total,8.6
SARI syndromic,Austria,2025-W28,SARIrate,0-4,9.1
SARI syndromic,Austria,2025-W28,SARIrate,15-64,2.3
SARI syndromic,Austria,2025-W28,SARIrate,5-14,2
SARI syndromic,Austria,2025-W28,SARIrate,65+,29.5
SARI syndromic,Austria,2025-W28,SARIrate,total,8.1
SARI syndromic,Austria,2025-W27,SARIrate,0-4,7.9
SARI syndromic,Austria,2025-W27,SARIrate,15-64,2.5
SARI syndromic,Austria,2025-W27,SARIrate,5-14,2.2
SARI syndromic,Austria,2025-W27,SARIrate,65+,30.7
SARI syndromic,Austria,2025-W27,SARIrate,total,8.4
SARI syndromic,Austria,2025-W26,SARIrate,0-4,11.1
SARI syndromic,Austria,2025-W26,SARIrate,15-64,2.4
SARI syndromic,Austria,2025-W26,SARIrate,5-14,2.7
SARI syndromic,Austria,2025-W26,SARIrate,65+,33.2
SARI syndromic,Austria,2025-W26,SARIrate,total,9.1
SARI syndromic,Austria,2025-W25,SARIrate,0-4,11.3
SARI syndromic,Austria,2025-W25,SARIrate,15-64,2.5
SARI syndromic,Austria,2025-W25,SARIrate,5-14,1.7
SARI syndromic,Austria,2025-W25,SARIrate,65+,32.8
SARI syndromic,Austria,2025-W25,SARIrate,total,8.9
SARI syndromic,Austria,2025-W24,SARIrate,0-4,14.7
SARI syndromic,Austria,2025-W24,SARIrate,15-64,2.7
SARI syndromic,Austria,2025-W24,SARIrate,5-14,1.9
SARI syndromic,Austria,2025-W24,SARIrate,65+,30.2
SARI syndromic,Austria,2025-W24,SARIrate,total,8.7
SARI syndromic,Austria,2025-W23,SARIrate,0-4,14.7
SARI syndromic,Austria,2025-W23,SARIrate,15-64,2.6
SARI syndromic,Austria,2025-W23,SARIrate,5-14,2.6
SARI syndromic,Austria,2025-W23,SARIrate,65+,36.3
SARI syndromic,Austria,2025-W23,SARIrate,total,9.9
SARI syndromic,Austria,2025-W22,SARIrate,0-4,17.8
SARI syndromic,Austria,2025-W22,SARIrate,15-64,3.1
SARI syndromic,Austria,2025-W22,SARIrate,5-14,2.7
SARI syndromic,Austria,2025-W22,SARIrate,65+,36.8
SARI syndromic,Austria,2025-W22,SARIrate,total,10.5
SARI syndromic,Austria,2025-W21,SARIrate,0-4,20.5
SARI syndromic,Austria,2025-W21,SARIrate,15-64,2.6
SARI syndromic,Austria,2025-W21,SARIrate,5-14,2.8
SARI syndromic,Austria,2025-W21,SARIrate,65+,36.4
SARI syndromic,Austria,2025-W21,SARIrate,total,10.3
SARI syndromic,Austria,2025-W20,SARIrate,0-4,20
SARI syndromic,Austria,2025-W20,SARIrate,15-64,2.4
SARI syndromic,Austria,2025-W20,SARIrate,5-14,2.8
SARI syndromic,Austria,2025-W20,SARIrate,65+,35.6
SARI syndromic,Austria,2025-W20,SARIrate,total,10
SARI syndromic,Austria,2025-W19,SARIrate,0-4,14.4
SARI syndromic,Austria,2025-W19,SARIrate,15-64,2.5
SARI syndromic,Austria,2025-W19,SARIrate,5-14,2.4
SARI syndromic,Austria,2025-W19,SARIrate,65+,34
SARI syndromic,Austria,2025-W19,SARIrate,total,9.4
SARI syndromic,Austria,2025-W18,SARIrate,0-4,16.1
SARI syndromic,Austria,2025-W18,SARIrate,15-64,2.8
SARI syndromic,Austria,2025-W18,SARIrate,5-14,2.8
SARI syndromic,Austria,2025-W18,SARIrate,65+,34.7
SARI syndromic,Austria,2025-W18,SARIrate,total,9.9
SARI syndromic,Austria,2025-W17,SARIrate,0-4,21.7
SARI syndromic,Austria,2025-W17,SARIrate,15-64,3
SARI syndromic,Austria,2025-W17,SARIrate,5-14,1.6
SARI syndromic,Austria,2025-W17,SARIrate,65+,41.6
SARI syndromic,Austria,2025-W17,SARIrate,total,11.5
SARI syndromic,Austria,2025-W16,SARIrate,0-4,29.1
SARI syndromic,Austria,2025-W16,SARIrate,15-64,3.5
SARI syndromic,Austria,2025-W16,SARIrate,5-14,2.9
SARI syndromic,Austria,2025-W16,SARIrate,65+,45.4
SARI syndromic,Austria,2025-W16,SARIrate,total,13.1
SARI syndromic,Austria,2025-W15,SARIrate,0-4,33.7
SARI syndromic,Austria,2025-W15,SARIrate,15-64,3.1
SARI syndromic,Austria,2025-W15,SARIrate,5-14,3.6
SARI syndromic,Austria,2025-W15,SARIrate,65+,42.6
SARI syndromic,Austria,2025-W15,SARIrate,total,12.5
SARI syndromic,Austria,2025-W14,SARIrate,0-4,39.7
SARI syndromic,Austria,2025-W14,SARIrate,15-64,3.8
SARI syndromic,Austria,2025-W14,SARIrate,5-14,3.8
SARI syndromic,Austria,2025-W14,SARIrate,65+,45.7
SARI syndromic,Austria,2025-W14,SARIrate,total,13.9
SARI syndromic,Austria,2025-W13,SARIrate,0-4,47.6
SARI syndromic,Austria,2025-W13,SARIrate,15-64,3.5
SARI syndromic,Austria,2025-W13,SARIrate,5-14,4.6
SARI syndromic,Austria,2025-W13,SARIrate,65+,52.9
SARI syndromic,Austria,2025-W13,SARIrate,total,15.6
SARI syndromic,Austria,2025-W12,SARIrate,0-4,52.5
SARI syndromic,Austria,2025-W12,SARIrate,15-64,4.7
SARI syndromic,Austria,2025-W12,SARIrate,5-14,5.8
SARI syndromic,Austria,2025-W12,SARIrate,65+,58
SARI syndromic,Austria,2025-W12,SARIrate,total,17.7
SARI syndromic,Austria,2025-W11,SARIrate,0-4,58.5
SARI syndromic,Austria,2025-W11,SARIrate,15-64,5.1
SARI syndromic,Austria,2025-W11,SARIrate,5-14,7.6
SARI syndromic,Austria,2025-W11,SARIrate,65+,64.5
SARI syndromic,Austria,2025-W11,SARIrate,total,19.8
SARI syndromic,Austria,2025-W10,SARIrate,0-4,64.2
SARI syndromic,Austria,2025-W10,SARIrate,15-64,5.9
SARI syndromic,Austria,2025-W10,SARIrate,5-14,6.6
SARI syndromic,Austria,2025-W10,SARIrate,65+,66.9
SARI syndromic,Austria,2025-W10,SARIrate,total,20.9
SARI syndromic,Austria,2025-W09,SARIrate,0-4,68.3
SARI syndromic,Austria,2025-W09,SARIrate,15-64,5.6
SARI syndromic,Austria,2025-W09,SARIrate,5-14,7
SARI syndromic,Austria,2025-W09,SARIrate,65+,70.2
SARI syndromic,Austria,2025-W09,SARIrate,total,21.6
SARI syndromic,Austria,2025-W08,SARIrate,0-4,62.6
SARI syndromic,Austria,2025-W08,SARIrate,15-64,6.8
SARI syndromic,Austria,2025-W08,SARIrate,5-14,10.7
SARI syndromic,Austria,2025-W08,SARIrate,65+,77.4
SARI syndromic,Austria,2025-W08,SARIrate,total,24
SARI syndromic,Austria,2025-W07,SARIrate,0-4,71
SARI syndromic,Austria,2025-W07,SARIrate,15-64,7.6
SARI syndromic,Austria,2025-W07,SARIrate,5-14,9.8
SARI syndromic,Austria,2025-W07,SARIrate,65+,81.3
SARI syndromic,Austria,2025-W07,SARIrate,total,25.5
SARI syndromic,Austria,2025-W06,SARIrate,0-4,69.5
SARI syndromic,Austria,2025-W06,SARIrate,15-64,7.7
SARI syndromic,Austria,2025-W06,SARIrate,5-14,13.8
SARI syndromic,Austria,2025-W06,SARIrate,65+,81.4
SARI syndromic,Austria,2025-W06,SARIrate,total,26
SARI syndromic,Austria,2025-W05,SARIrate,0-4,72.9
SARI syndromic,Austria,2025-W05,SARIrate,15-64,8
SARI syndromic,Austria,2025-W05,SARIrate,5-14,13.6
SARI syndromic,Austria,2025-W05,SARIrate,65+,84.6
SARI syndromic,Austria,2025-W05,SARIrate,total,27
SARI syndromic,Austria,2025-W04,SARIrate,0-4,64.5
SARI syndromic,Austria,2025-W04,SARIrate,15-64,8.4
SARI syndromic,Austria,2025-W04,SARIrate,5-14,11.7
SARI syndromic,Austria,2025-W04,SARIrate,65+,79.7
SARI syndromic,Austria,2025-W04,SARIrate,total,25.7
SARI syndromic,Austria,2025-W03,SARIrate,0-4,48.1
SARI syndromic,Austria,2025-W03,SARIrate,15-64,6.6
SARI syndromic,Austria,2025-W03,SARIrate,5-14,7.4
SARI syndromic,Austria,2025-W03,SARIrate,65+,74.6
SARI syndromic,Austria,2025-W03,SARIrate,total,22.3
SARI syndromic,Austria,2025-W02,SARIrate,0-4,39
SARI syndromic,Austria,2025-W02,SARIrate,15-64,6.8
SARI syndromic,Austria,2025-W02,SARIrate,5-14,6.6
SARI syndromic,Austria,2025-W02,SARIrate,65+,78.8
SARI syndromic,Austria,2025-W02,SARIrate,total,22.8
SARI syndromic,Austria,2025-W01,SARIrate,0-4,42.7
SARI syndromic,Austria,2025-W01,SARIrate,15-64,6.1
SARI syndromic,Austria,2025-W01,SARIrate,5-14,4.5
SARI syndromic,Austria,2025-W01,SARIrate,65+,78.2
SARI syndromic,Austria,2025-W01,SARIrate,total,21.9
SARI syndromic,Austria,2024-W52,SARIrate,0-4,35.4
SARI syndromic,Austria,2024-W52,SARIrate,15-64,4.9
SARI syndromic,Austria,2024-W52,SARIrate,5-14,6.4
SARI syndromic,Austria,2024-W52,SARIrate,65+,72.7
SARI syndromic,Austria,2024-W52,SARIrate,total,19.9
SARI syndromic,Austria,2024-W51,SARIrate,0-4,42.7
SARI syndromic,Austria,2024-W51,SARIrate,15-64,5.6
SARI syndromic,Austria,2024-W51,SARIrate,5-14,5.5
SARI syndromic,Austria,2024-W51,SARIrate,65+,63.6
SARI syndromic,Austria,2024-W51,SARIrate,total,18.8
SARI syndromic,Austria,2024-W50,SARIrate,0-4,27.8
SARI syndromic,Austria,2024-W50,SARIrate,15-64,5.5
SARI syndromic,Austria,2024-W50,SARIrate,5-14,5.9
SARI syndromic,Austria,2024-W50,SARIrate,65+,58.4
SARI syndromic,Austria,2024-W50,SARIrate,total,17.1
SARI syndromic,Austria,2024-W49,SARIrate,0-4,28.8
SARI syndromic,Austria,2024-W49,SARIrate,15-64,5.4
SARI syndromic,Austria,2024-W49,SARIrate,5-14,6.7
SARI syndromic,Austria,2024-W49,SARIrate,65+,59.7
SARI syndromic,Austria,2024-W49,SARIrate,total,17.4
SARI syndromic,Austria,2024-W48,SARIrate,0-4,24.1
SARI syndromic,Austria,2024-W48,SARIrate,15-64,4.5
SARI syndromic,Austria,2024-W48,SARIrate,5-14,8.6
SARI syndromic,Austria,2024-W48,SARIrate,65+,53.4
SARI syndromic,Austria,2024-W48,SARIrate,total,15.5
SARI syndromic,Austria,2024-W47,SARIrate,0-4,25.2
SARI syndromic,Austria,2024-W47,SARIrate,15-64,5.1
SARI syndromic,Austria,2024-W47,SARIrate,5-14,7
SARI syndromic,Austria,2024-W47,SARIrate,65+,53.4
SARI syndromic,Austria,2024-W47,SARIrate,total,15.8
SARI syndromic,Austria,2024-W46,SARIrate,0-4,25.2
SARI syndromic,Austria,2024-W46,SARIrate,15-64,4.8
SARI syndromic,Austria,2024-W46,SARIrate,5-14,7.4
SARI syndromic,Austria,2024-W46,SARIrate,65+,52.2
SARI syndromic,Austria,2024-W46,SARIrate,total,15.4
SARI syndromic,Austria,2024-W45,SARIrate,0-4,23.1
SARI syndromic,Austria,2024-W45,SARIrate,15-64,4.9
SARI syndromic,Austria,2024-W45,SARIrate,5-14,5
SARI syndromic,Austria,2024-W45,SARIrate,65+,56
SARI syndromic,Austria,2024-W45,SARIrate,total,15.9
SARI syndromic,Austria,2024-W44,SARIrate,0-4,22.9
SARI syndromic,Austria,2024-W44,SARIrate,15-64,5.5
SARI syndromic,Austria,2024-W44,SARIrate,5-14,6.5
SARI syndromic,Austria,2024-W44,SARIrate,65+,55.4
SARI syndromic,Austria,2024-W44,SARIrate,total,16.3
SARI syndromic,Austria,2024-W43,SARIrate,0-4,27.4
SARI syndromic,Austria,2024-W43,SARIrate,15-64,5.1
SARI syndromic,Austria,2024-W43,SARIrate,5-14,5.6
SARI syndromic,Austria,2024-W43,SARIrate,65+,70.1
SARI syndromic,Austria,2024-W43,SARIrate,total,19.1
SARI syndromic,Austria,2024-W42,SARIrate,0-4,27.1
SARI syndromic,Austria,2024-W42,SARIrate,15-64,5.3
SARI syndromic,Austria,2024-W42,SARIrate,5-14,7
SARI syndromic,Austria,2024-W42,SARIrate,65+,75
SARI syndromic,Austria,2024-W42,SARIrate,total,20.3
SARI syndromic,Austria,2024-W41,SARIrate,0-4,28.8
SARI syndromic,Austria,2024-W41,SARIrate,15-64,6.4
SARI syndromic,Austria,2024-W41,SARIrate,5-14,6.6
SARI syndromic,Austria,2024-W41,SARIrate,65+,79.7
SARI syndromic,Austria,2024-W41,SARIrate,total,22
SARI syndromic,Austria,2024-W40,SARIrate,0-4,21.5
SARI syndromic,Austria,2024-W40,SARIrate,15-64,6.6
SARI syndromic,Austria,2024-W40,SARIrate,5-14,8
SARI syndromic,Austria,2024-W40,SARIrate,65+,78
SARI syndromic,Austria,2024-W40,SARIrate,total,21.6
SARI syndromic,Austria,2024-W39,SARIrate,0-4,16
SARI syndromic,Austria,2024-W39,SARIrate,15-64,2.7
SARI syndromic,Austria,2024-W39,SARIrate,5-14,6.1
SARI syndromic,Austria,2024-W39,SARIrate,65+,28.8
SARI syndromic,Austria,2024-W39,SARIrate,total,8.9
SARI syndromic,Austria,2024-W38,SARIrate,0-4,23.8
SARI syndromic,Austria,2024-W38,SARIrate,15-64,4.5
SARI syndromic,Austria,2024-W38,SARIrate,5-14,12.6
SARI syndromic,Austria,2024-W38,SARIrate,65+,42.2
SARI syndromic,Austria,2024-W38,SARIrate,total,13.7
SARI syndromic,Austria,2024-W37,SARIrate,0-4,16.3
SARI syndromic,Austria,2024-W37,SARIrate,15-64,4.4
SARI syndromic,Austria,2024-W37,SARIrate,5-14,6.8
SARI syndromic,Austria,2024-W37,SARIrate,65+,36.5
SARI syndromic,Austria,2024-W37,SARIrate,total,11.5
SARI syndromic,Austria,2024-W36,SARIrate,0-4,7.5
SARI syndromic,Austria,2024-W36,SARIrate,15-64,3.4
SARI syndromic,Austria,2024-W36,SARIrate,5-14,3.7
SARI syndromic,Austria,2024-W36,SARIrate,65+,29.9
SARI syndromic,Austria,2024-W36,SARIrate,total,8.9
SARI syndromic,Austria,2024-W35,SARIrate,0-4,12.7
SARI syndromic,Austria,2024-W35,SARIrate,15-64,4.9
SARI syndromic,Austria,2024-W35,SARIrate,5-14,4.1
SARI syndromic,Austria,2024-W35,SARIrate,65+,39.3
SARI syndromic,Austria,2024-W35,SARIrate,total,12
SARI syndromic,Austria,2024-W34,SARIrate,0-4,7.1
SARI syndromic,Austria,2024-W34,SARIrate,15-64,4.8
SARI syndromic,Austria,2024-W34,SARIrate,5-14,3.6
SARI syndromic,Austria,2024-W34,SARIrate,65+,38.6
SARI syndromic,Austria,2024-W34,SARIrate,total,11.5
SARI syndromic,Austria,2024-W33,SARIrate,0-4,6.6
SARI syndromic,Austria,2024-W33,SARIrate,15-64,4.4
SARI syndromic,Austria,2024-W33,SARIrate,5-14,4.7
SARI syndromic,Austria,2024-W33,SARIrate,65+,40.2
SARI syndromic,Austria,2024-W33,SARIrate,total,11.6
SARI syndromic,Austria,2024-W32,SARIrate,0-4,8.3
SARI syndromic,Austria,2024-W32,SARIrate,15-64,4.4
SARI syndromic,Austria,2024-W32,SARIrate,5-14,4
SARI syndromic,Austria,2024-W32,SARIrate,65+,40.3
SARI syndromic,Austria,2024-W32,SARIrate,total,11.7
SARI syndromic,Austria,2024-W31,SARIrate,0-4,6.8
SARI syndromic,Austria,2024-W31,SARIrate,15-64,4.5
SARI syndromic,Austria,2024-W31,SARIrate,5-14,4.5
SARI syndromic,Austria,2024-W31,SARIrate,65+,40.6
SARI syndromic,Austria,2024-W31,SARIrate,total,11.7
SARI syndromic,Austria,2024-W30,SARIrate,0-4,10.1
SARI syndromic,Austria,2024-W30,SARIrate,15-64,4.1
SARI syndromic,Austria,2024-W30,SARIrate,5-14,6.4
SARI syndromic,Austria,2024-W30,SARIrate,65+,39
SARI syndromic,Austria,2024-W30,SARIrate,total,11.5
SARI syndromic,Austria,2024-W29,SARIrate,0-4,9.2
SARI syndromic,Austria,2024-W29,SARIrate,15-64,4
SARI syndromic,Austria,2024-W29,SARIrate,5-14,4.8
SARI syndromic,Austria,2024-W29,SARIrate,65+,41.7
SARI syndromic,Austria,2024-W29,SARIrate,total,11.8
SARI syndromic,Austria,2024-W28,SARIrate,0-4,7.3
SARI syndromic,Austria,2024-W28,SARIrate,15-64,4.7
SARI syndromic,Austria,2024-W28,SARIrate,5-14,3.8
SARI syndromic,Austria,2024-W28,SARIrate,65+,39.3
SARI syndromic,Austria,2024-W28,SARIrate,total,11.6
SARI syndromic,Austria,2024-W27,SARIrate,0-4,11.8
SARI syndromic,Austria,2024-W27,SARIrate,15-64,3
SARI syndromic,Austria,2024-W27,SARIrate,5-14,4.6
SARI syndromic,Austria,2024-W27,SARIrate,65+,33.1
SARI syndromic,Austria,2024-W27,SARIrate,total,9.6
SARI syndromic,Austria,2024-W26,SARIrate,0-4,13.2
SARI syndromic,Austria,2024-W26,SARIrate,15-64,3.8
SARI syndromic,Austria,2024-W26,SARIrate,5-14,4.8
SARI syndromic,Austria,2024-W26,SARIrate,65+,38.2
SARI syndromic,Austria,2024-W26,SARIrate,total,11.2
SARI syndromic,Austria,2024-W25,SARIrate,0-4,21.2
SARI syndromic,Austria,2024-W25,SARIrate,15-64,3.6
SARI syndromic,Austria,2024-W25,SARIrate,5-14,5.5
SARI syndromic,Austria,2024-W25,SARIrate,65+,38.9
SARI syndromic,Austria,2024-W25,SARIrate,total,11.6
SARI syndromic,Austria,2024-W24,SARIrate,0-4,14.4
SARI syndromic,Austria,2024-W24,SARIrate,15-64,4
SARI syndromic,Austria,2024-W24,SARIrate,5-14,5.5
SARI syndromic,Austria,2024-W24,SARIrate,65+,38.4
SARI syndromic,Austria,2024-W24,SARIrate,total,11.4
SARI syndromic,Austria,2024-W23,SARIrate,0-4,13.4
SARI syndromic,Austria,2024-W23,SARIrate,15-64,4.2
